dek_algorithm	primitive	mode	key_bits	coverage	resource	outcome	notes
DES-CFB	DES	CFB	64	FROZEN	legacy-pem/des-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-OFB	DES	OFB	64	FROZEN	legacy-pem/des-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-ECB	DES	ECB	64	FROZEN	legacy-pem/des-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE-CBC	DES-EDE	CBC	128	FROZEN	legacy-pem/des-ede-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE-CFB	DES-EDE	CFB	128	FROZEN	legacy-pem/des-ede-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE-OFB	DES-EDE	OFB	128	FROZEN	legacy-pem/des-ede-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE	DES-EDE	ECB_DEFAULT	128	FROZEN	legacy-pem/des-ede.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE-ECB	DES-EDE	ECB_EXPLICIT	128	FROZEN	legacy-pem/des-ede-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE3-CBC	DES-EDE3	CBC	192	FROZEN	legacy-pem/des-ede3-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE3-CFB	DES-EDE3	CFB	192	FROZEN	legacy-pem/des-ede3-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE3-OFB	DES-EDE3	OFB	192	FROZEN	legacy-pem/des-ede3-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE3	DES-EDE3	ECB_DEFAULT	192	FROZEN	legacy-pem/des-ede3.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-EDE3-ECB	DES-EDE3	ECB_EXPLICIT	192	FROZEN	legacy-pem/des-ede3-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
BF-CBC	BLOWFISH	CBC	128	FROZEN	legacy-pem/bf-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
BF-CFB	BLOWFISH	CFB	128	FROZEN	legacy-pem/bf-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
BF-OFB	BLOWFISH	OFB	128	FROZEN	legacy-pem/bf-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
BF-ECB	BLOWFISH	ECB	128	FROZEN	legacy-pem/bf-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-CBC	RC2	CBC	128	FROZEN	legacy-pem/rc2-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-CFB	RC2	CFB	128	FROZEN	legacy-pem/rc2-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-OFB	RC2	OFB	128	FROZEN	legacy-pem/rc2-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-ECB	RC2	ECB	128	FROZEN	legacy-pem/rc2-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-40-CBC	RC2	CBC	40	FROZEN	legacy-pem/rc2-40-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-40-CFB	RC2	CFB	40	FROZEN	legacy-pem/rc2-40-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-40-OFB	RC2	OFB	40	FROZEN	legacy-pem/rc2-40-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-40-ECB	RC2	ECB	40	FROZEN	legacy-pem/rc2-40-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-64-CBC	RC2	CBC	64	FROZEN	legacy-pem/rc2-64-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-64-CFB	RC2	CFB	64	FROZEN	legacy-pem/rc2-64-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-64-OFB	RC2	OFB	64	FROZEN	legacy-pem/rc2-64-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
RC2-64-ECB	RC2	ECB	64	FROZEN	legacy-pem/rc2-64-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
